datetime,x,y,z,gyrx,gyry,gyrz,magx,magy,magz,annotation,a,b
39.2,0.868896484,0.043457031,0.335205078,0.0,-8.758544922,1.403808594,-14.99389499,-20.39169719,-59.97557998,0,,
39.2,0.661865234,0.092285156,0.404785156,0.0,-9.719848633,2.487182617,-14.99389499,-20.39169719,-59.97557998,0,,
39.2,0.596435547,0.182128906,0.481689453,0.0,-16.3269043,14.22119141,-14.99389499,-20.39169719,-59.97557998,0,,
39.2,0.624511719,0.231689453,0.397216797,0.0,-18.98193359,17.88330078,-14.99389499,-20.39169719,-59.97557998,0,,
39.3,0.655029297,0.249755859,0.302490234,0.0,-27.02331543,12.51220703,-14.99389499,-20.39169719,-59.97557998,1,,
39.3,0.768310547,0.218261719,0.303466797,0.0,-29.76989746,9.231567383,-15.89352869,-20.69157509,-61.47496947,0,,
39.3,0.872558594,0.178955078,0.318847656,0.0,-28.15246582,10.42175293,-15.89352869,-20.69157509,-61.47496947,0,,
39.3,0.985107422,0.131591797,0.315917969,0.0,-26.21459961,11.03210449,-15.89352869,-20.69157509,-61.47496947,0,,
39.3,1.033447266,0.108154297,0.295654297,0.0,-25.32958984,8.148193359,-15.89352869,-20.69157509,-61.47496947,0,,
39.3,1.038085938,0.125976563,0.366943359,0.0,-16.02172852,0.747680664,-15.89352869,-20.69157509,-61.47496947,0,,
39.3,1.067382813,0.135986328,0.453125,0.0,-11.04736328,-0.823974609,-15.89352869,-20.69157509,-61.47496947,0,,
39.3,1.072509766,0.127441406,0.524169922,0.0,-8.926391602,-5.935668945,-15.89352869,-20.69157509,-61.47496947,0,,
39.4,0.908447266,0.139648438,0.395019531,0.0,-13.04626465,-13.54980469,-15.89352869,-20.69157509,-61.47496947,0,,
39.4,0.772705078,0.176269531,0.274169922,0.0,-16.90673828,-20.5078125,-15.89352869,-20.69157509,-61.47496947,0,,
39.4,0.6796875,0.182373047,0.450927734,3.90625,-18.6920166,-19.60754395,-14.99389499,-24.29010989,-61.17509158,0,,
39.4,0.746582031,0.152832031,0.625244141,0.0,-17.47131348,-15.10620117,-14.99389499,-24.29010989,-61.17509158,0,,
39.4,0.867431641,0.128662109,0.706298828,0.0,-12.87841797,-16.81518555,-14.99389499,-24.29010989,-61.17509158,0,,
39.4,1.024169922,0.159423828,0.721435547,0.0,-10.11657715,-22.27783203,-14.99389499,-24.29010989,-61.17509158,0,,
39.4,1.030761719,0.228271484,0.568603516,0.0,-10.34545898,-23.97155762,-14.99389499,-24.29010989,-61.17509158,0,,
39.5,1.042480469,0.271240234,0.464599609,0.0,-5.05065918,-15.64025879,-14.99389499,-24.29010989,-61.17509158,0,,
39.5,0.946533203,0.337646484,0.443115234,0.0,4.501342773,-5.737304688,-14.99389499,-24.29010989,-61.17509158,0,,
39.5,0.844726563,0.487792969,0.347900391,0.0,14.11437988,7.690429688,-14.99389499,-24.29010989,-61.17509158,0,,
39.5,0.647216797,0.733642578,0.140625,0.0,20.9197998,4.531860352,-14.99389499,-24.29010989,-61.17509158,0,,
39.5,0.686035156,0.778076172,0.255126953,0.0,20.47729492,2.960205078,-14.39413919,-24.58998779,-61.17509158,0,,
39.5,0.808105469,0.716308594,0.532470703,0.0,21.27075195,4.302978516,-14.39413919,-24.58998779,-61.17509158,0,,
39.5,0.907714844,0.549316406,0.854248047,0.0,27.70996094,5.279541016,-14.39413919,-24.58998779,-61.17509158,0,,
39.5,0.987304688,0.216552734,1.136230469,0.0,40.57312012,4.71496582,-14.39413919,-24.58998779,-61.17509158,0,,
39.6,0.997070313,-0.04296875,0.953613281,0.0,79.5135498,-3.372192383,-14.39413919,-24.58998779,-61.17509158,0,,
39.6,0.979980469,-0.061523438,0.933837891,0.0,92.95654297,-5.950927734,-14.39413919,-24.58998779,-61.17509158,0,,
39.6,0.955078125,-0.083496094,0.98046875,0.0,99.89929199,-5.355834961,-14.39413919,-24.58998779,-61.17509158,0,,
39.6,0.982177734,-0.162109375,0.908203125,0.0,108.0627441,1.525878906,-14.39413919,-24.58998779,-61.17509158,0,,
39.6,1.024658203,-0.249511719,0.897216797,0.0,122.7111816,-1.800537109,-14.39413919,-24.58998779,-61.17509158,0,,
39.6,0.978271484,-0.572265625,1.163818359,0.0,131.1340332,-16.44897461,-14.54407814,-19.34212454,-59.82564103,0,,
39.6,0.893066406,-0.723144531,1.265380859,0.0,126.3885498,-23.72741699,-14.54407814,-19.34212454,-59.82564103,0,,
39.7,0.810302734,-0.685058594,1.229003906,0.0,134.9639893,-29.95300293,-14.54407814,-19.34212454,-59.82564103,0,,
39.7,0.694580078,-0.489257813,1.080078125,0.0,143.2647705,-44.41833496,-14.54407814,-19.34212454,-59.82564103,0,,
39.7,0.437255859,-0.087402344,0.722412109,0.0,138.4124756,-49.95727539,-14.54407814,-19.34212454,-59.82564103,0,,
39.7,0.246582031,0.237304688,0.538574219,0.0,124.5574951,-46.56982422,-14.54407814,-19.34212454,-59.82564103,0,,
39.7,0.0234375,0.889404297,0.301757813,0.0,87.09716797,-31.84509277,-14.54407814,-19.34212454,-59.82564103,0,,
39.7,-0.132080078,1.626220703,0.209228516,0.0,10.6048584,-22.84240723,-14.54407814,-19.34212454,-59.82564103,0,,
39.7,-0.153320313,1.754394531,0.262207031,0.0,-35.65979004,-18.99719238,-14.54407814,-19.34212454,-59.82564103,0,,
39.7,-0.080810547,1.565185547,0.484375,0.0,-79.58984375,-21.484375,-14.54407814,-19.34212454,-59.82564103,0,,
39.8,0.163574219,1.036376953,1.060302734,0.0,-73.54736328,-22.26257324,-25.93943834,-13.34456654,-57.42661783,1,,
39.8,0.340576172,0.785888672,1.165771484,0.0,-50.23193359,-20.08056641,-25.93943834,-13.34456654,-57.42661783,0,,
39.8,0.518554688,0.759765625,0.905273438,0.0,-20.3704834,-19.45495605,-25.93943834,-13.34456654,-57.42661783,0,,
39.8,0.580078125,0.766601563,0.265869141,0.0,17.04406738,-18.95141602,-25.93943834,-13.34456654,-57.42661783,0,,
39.8,0.533203125,0.618408203,0.177490234,0.0,16.44897461,-26.88598633,-25.93943834,-13.34456654,-57.42661783,0,,
39.8,0.542236328,0.324462891,0.228027344,0.0,-0.366210938,-39.79492188,-25.93943834,-13.34456654,-57.42661783,0,,
39.8,0.628173828,-0.020507813,0.494628906,0.0,-5.569458008,-44.99816895,-25.93943834,-13.34456654,-57.42661783,0,,
39.9,0.670654297,-0.137207031,0.702636719,0.0,-6.973266602,-49.89624023,-25.93943834,-13.34456654,-57.42661783,0,,
